"family","LBD-01","LBD-Control-01","LBD-02","LBD-Control-02","LBD-Control-25","LBD-25","LBD-03","LBD-Control-03","LBD-04","LBD-Control-04","LBD-Control-05","LBD-05","LBD-06","LBD-Control-06","LBD-07","LBD-Control-07","LBD-Control-08","LBD-08","LBD-Control-09","LBD-09","LBD-Control-10","LBD-10","LBD-11","LBD-Control-11","LBD-12","LBD-Control-12","LBD-13","LBD-Control-13","LBD-14","LBD-Control-14","LBD-15","LBD-Control-15","LBD-16","LBD-Control-16","LBD-17","LBD-Control-17","LBD-18","LBD-Control-18","LBD-19","LBD-Control-19","LBD-20","LBD-Control-20","LBD-Control-23","LBD-21","LBD-Control-21","LBD-22","LBD-Control-22","LBD-23","LBD-Control-24","LBD-24","iRBD-01","iRBD-Control-01","iRBD-02","iRBD-Control-02","iRBD-03","iRBD-Control-03","iRBD-04","iRBD-Control-04","iRBD-05","iRBD-Control-05","iRBD-06","iRBD-Control-06","iRBD-07","iRBD-Control-07","iRBD-08","iRBD-Control-08","iRBD-09","iRBD-Control-09","iRBD-10","iRBD-Control-10"
"FGB74971",0,0,0,0,0,0,0.0609690939030906,0,0.0853961914603809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762921771123468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056416977433209,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcaceae",0,0,0,0,0,0,0.0633572936642706,0,0,0,0.0660096867980627,0,0,0.0510026948997305,0,0,0,0,0,0,0.168085550425665,0,0,0,0.0696732721306912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725513782345866,0.0988965307724285,0.0869822913017709,0,0,0,0.106425263855158,0.081102567558973,0,0,0,0,0,0.0791606474963885,0,0,0,0,0,0,0,0,0.392115117634535,0,0,0,0,0,0,0,0,0
"Coriobacteriaceae",0,0,0,0,0,0,0,0.0840146168029234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822961588519206,0,0,0,0,0,0.0806533758039872,0,0,0,0,0,0.0610050061005006,0,0,0.0811552350758119,0,0,0,0,0,0,0.0711763928823607,0,0,0,0,0.0613437122687424,0.0723115927688407,0,0,0,0,0,0,0.0517258948274105,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572930942706906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542497945750206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGB10477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682814590311246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGB2982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058431064941361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080651451609129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121903787809621,0,0,0,0,0,0,0.076088984782203,0,0,0,0,0,0,0.0582071767171293,0,0,0,0,0,0,0,0,0.0687768,0.0528141369698959,0,0
"Synergistaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688922137784428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798650680539727,0,0,0,0,0.163226283677372,0,0,0,0,0,0,0,0,0.0999040700287791,0,0,0,0,0,0,0,0,0.108531489146851,0,0.0690135414081249,0.198160980183902,0,0.06205497517801,0.0507217456495711,0.119233723846745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514851948514805,0,0,0,0,0,0.116120181284127,0,0
"Coprobacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608118304059152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGB658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176622652986796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548804945119506,0,0,0,0,0,0,0,0,0,0,0,0,0.0631612747354901,0,0.0507223253611627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelotrichaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148260740695704,0.0729457708216917,0.0573458344075006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacteriales_incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517507637744654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199704140088758,0,0,0,0,0,0,0,0,0,0.050067830040698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543999836800049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tannerellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722622144524429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGB79294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565898943410106,0,0,0,0,0
"FGB3054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665509,0,0,0
