"species","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Longibaculum_muris",0,0.0191818976969437,0.0769074341265139,0,0,0,0,0.0497920094529413,0.52504790428527,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum"
"Longicatena_caecimuris",0,0.0724214344689249,0.0784603280095692,0,0,0.0153107263115404,-9.58562744582278,0.0202647704704299,0.491380715359753,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longicatena"
"Luoshenia_tenuis",0,0,0.0105453375621388,0.0099801451359689,0,0,0,0.693393339456914,0.946617808613157,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Luoshenia"
"Marvinbryantia_SGB4691",0.0415535215082331,0,0.0541614980931606,0,0,0,0,0.215336272682214,0.683379104739591,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Marvinbryantia"
"Massiliimalia_massiliensis",0.00728704245138951,0,0,0,0,0,0,0.975786850806073,0.998327945067383,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Massiliimalia"
"Massiliimalia_timonensis",0.00554980575688212,0,0.00528207014852755,0.0174908880877131,0,0,0,0.631328342593918,0.928933204073303,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Massiliimalia"
"Massilimicrobiota_timonensis",0,0,0.040943092548819,0.0456995980893347,0,0,0,0.471875618260887,0.886721787117423,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Massilimicrobiota"
"Massilioclostridium_coli",0,0.00753664957433639,0.0169418864931788,0.00887705255250367,0,0,0,0.143935014064034,0.637982224500041,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Massilioclostridium"
"Massilistercora_timonensis",0,0,0.0172982630581195,0.021030101079725,0,0,0,0.76339909815305,0.962780697033068,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Massilistercora"
"Mediterraneibacter_butyricigenes",0.028938460444371,0,0,0,0.0142272196224008,0,9.47988146023472,0.117004538881404,0.606080673343719,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter"
"Mediterraneibacter_faecis",0.133321335563475,0,0,0,0.0357133259204483,0.0876071772862739,-1.29410931854283,0.676194829225022,0.937148890080875,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter"
"Mediterraneibacter_glycyrrhizinilyticus",0.0559165460369569,0,0.044364302243854,0.0236432675027656,0,0.00924134635250806,-8.85849231919031,0.221506894460844,0.689408438738912,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter"
"Mediterraneibacter_massiliensis",0,0,0.0125382721861501,0,0,0,0,0.846869026370078,0.979275237437679,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter"
"Mediterraneibacter_SGB48424",0,0,0,0.0224763211934904,0,0,0,0.726705007698381,0.958213041405174,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter"
