"Row.names","irbd_BIOME169225","irbd_control_BIOME169229","irbd_BIOME171096","irbd_control_BIOME172176","irbd_BIOME172204","irbd_control_BIOME172208","irbd_BIOME172212","irbd_control_BIOME172216","irbd_BIOME181988","irbd_control_BIOME181992","irbd_BIOME182072","irbd_control_BIOME182743","irbd_BIOME182783","irbd_control_BIOME182787","irbd_BIOME186317","irbd_control_BIOME186321","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus","category","cohens_d","ci_low","ci_high","p_effect_size"
"GGB33512_SGB15201",0,0,0.00464759674689959,0,0,0,0.0118577643713384,0.0286395513796344,0,0,0,0,0.134469383190297,0,0,0.0177941970642924,0.175040988437968,0,0,0,0,0,0,0.135768856098888,0.623849173981767,"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB33512","All",0.411602140838167,-0.246187856004762,1.04879675091,0.356941311118409
"GGB9694_SGB15204",0,0,0,0,0,0,0,0.0150869870516241,0,0,0,0,0.0392146316212201,0,0.0960009216209335,0,0.178148608345899,0,0,0,0,0,0,0.186642362079109,0.63570185279367,"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9694","All",0.486568874382979,-0.18338091391669,1.1329701640432,0.354703735671248
"GGB3321_SGB4394",0,0,0,0,0,0,0,0.0222684027829042,0,0,0,0,0,0.0123857914221725,0,0,0,0,0,0,0,0,0,0.165250816414168,0.623849173981767,"Bacteria","Firmicutes","CFGB1359","OFGB1359","FGB1359","GGB3321","All",-0.451926543588274,-1.09385375330431,0.212224459086989,0.353341654209001
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0.0388749443888515,0,0.00964898529787161,0,0,0,0,0,0,0,0,0,0,0,0,0.128389414205338,0.623849173981767,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","All",0.393450625836962,-0.261616029748189,1.02868453101186,0.350749737355672
"Alistipes_onderdonkii",0.0190982792688544,0,0.0385361513915849,0.0616653611199431,0,0,0.0111042809597138,0.0433864041994748,0.0157105165659915,0,0.0134354350612644,0.0295203832449299,0.0197775327440049,0.1513223201091,0.09463457122058,0.0950985334912465,0.10902994936249,0.193252524422949,0.0859983643770352,0.130042745291467,0.0194379060064297,0.052525882659709,-1.43322347470227,0.279101719533935,0.662866583893095,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","All",-0.630485966809204,-1.29934160000775,0.0666614131252204,0.34943895835837
"Roseburia_hominis",0.0108951674204119,0.0425545994489485,0,0.0091160454886484,0.0208413785652642,0.014883424058631,0.0620947073228546,0.00465834179564229,0.0328905783142928,0,0.0404993462228969,0.087281294483508,0.0245971889612466,0.102455244512841,0.0340330279855644,0.0463426069937139,0,0.0371313140685801,0,0.0606325261552585,0.0227192837632554,0.0398429567587643,-0.809863201225358,0.156978126478568,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","All",-0.428417191180113,-1.06752249981944,0.231973664128657,0.344516336252057
"Eggerthella_lenta",0,0.166567888875884,0,0,0.0146155839946604,0.0941779690634808,0.0178222781142901,0.0090775674269599,0.01057847745708,0.0418846665875739,0.0343753650985998,0.0450485539130508,0.0162025566097841,0,0,0,0.0697372118472858,0.0421052093780033,0.0387382421039453,0,0.0154090703022223,0.0254811170072669,-0.724911058351775,0.0843540664216558,0.600750593146475,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","All",-0.320650886333686,-0.94909935459518,0.324397147167893,0.344345055462206
"Guopingia_tenuis",0,0,0,0,0.0214119182715005,0,0,0,0,0.0111895129617052,0,0,0,0,0.010770537312964,0,0.0161376146273107,0.00849127689705323,0.0235521313318683,0,0,0,0,0.197038166441504,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Guopingia","All",0.485409933469775,-0.184341026893391,1.13165557122514,0.342432264042481
"GGB9185_SGB14124",0,0,0,0,0,0,0,0,0,0,0,0,0.00541297252140876,0,0.012041885000861,0,0,0,0,0,0,0,0,0.1653113121924,0.623849173981767,"Bacteria","Firmicutes","CFGB2881","OFGB2881","FGB2881","GGB9185","All",0.436613976599463,-0.225071607735448,1.07668332993159,0.341300022012604
"Kineothrix_SGB4886",0,0,0,0,0,0,0,0.0164080483904344,0.0581197215426742,0,0.0482431937509081,0,0.0576157087788393,0.0658830489083632,0.023325921622605,0.0226757177437604,0,0,0,0,0,0,0,0.0982553644032903,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Kineothrix","All",0.337225948349112,-0.309973560710674,0.967066057345821,0.33980361222054
