"species","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Blautia_wexlerae",0.0816523336575543,0.138085835391078,0.183301236911809,0.0920560253351637,0.18981462544403,0.143095327991765,0.407565082089357,0.42630687164089,0.729926591268849,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Brotolimicola_acetigignens",0,0,0.0495268250343907,0.0407015325798416,0.0327558340125777,0.0194077924673065,0.754511944147252,0.772092981074013,0.932466105746319,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Brotolimicola"
"Butyricicoccus_intestinisimiae",0.0533216050201172,0,0,0,0,0,0,0.251099737092153,0.650512032222878,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus"
"Butyricimonas_faecihominis",0,0,0,0,0,0,0,0.507799668883133,0.783291375552983,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Butyricimonas_paravirosa",0.00721116504861254,0,0,0,0,0,0,0.333498755224007,0.690000859087193,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Butyricimonas_virosa",0.00853239513161036,0,0,0,0,0,0,0.0993436475581767,0.611945762102077,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Candidatus_Cibionibacter_quicibialis",0.16030366075164,0.205408639212647,0,0.114700899036032,0.117656592110581,0.136462448480363,-0.213888141661988,0.873335428320238,0.963285706518015,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis","Candidatus_Cibionibacter"
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0.363355385738348,0.704713270645808,"Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Gastranaerophilales","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_unclassified"
"Catenibacillus_scindens",0,0,0,0,0,0,0,0.237293345628815,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Catenibacillus"
"Catenibacterium_tridentinum",0,0,0,0,0,0,0,0.777767565441831,0.934908359275996,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium"
"Christensenella_hongkongensis",0.0049497676799975,0.0137627065382569,0,0,0,0,0,0.214294352660395,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenella_minuta",0.0111850443458256,0.00875796864211884,0,0,0,0,0,0.0386597652046559,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenella_sp_Marseille_P3954",0.0102763669324019,0.00747670253292679,0,0,0,0,0,0.184611088761123,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenella_timonensis",0.00802504719617386,0,0,0,0,0,0,0.10940630764148,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenellaceae_bacterium",0.0102373659316239,0,0,0,0,0,0,0.0900604089045216,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenellaceae_unclassified"
"Cloacibacillus_evryensis",0.115884890727443,0,0,0,0,0,0,0.167801203299636,0.623849173981767,"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus"
"Clostridia_bacterium_UC5_1_1D1",0,0,0,0,0,0.00384061025650172,-7.59608897265637,0.0195683298975472,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Clostridiaceae_bacterium",0.0164597832854787,0.0275262034537735,0.0601378408382669,0.0772324477327733,0.0431157166031228,0.0833156917420738,-0.950052359095436,0.0393611074610374,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_bacterium_AF18_31LB",0,0,0,0,0,0,0,0.456879921906756,0.745435662058391,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_bacterium_Marseille_Q4143",0,0.0188823362365335,0,0.0068557086469554,0,0,0,0.93267937584658,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_bacterium_Marseille_Q4149",0,0,0,0.129517918120386,0,0,0,0.14122129805139,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_unclassified_SGB15090",0,0,0,0,0.0117972803912566,0,9.2100981265922,0.0115181187199047,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_unclassified_SGB4771",0,0,0,0,0,0,0,0.153222969507669,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiales_bacterium",0,0.0119710879123902,0.0558403210699719,0.00976744815266367,0,0,0,0.161903394853927,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified"
"Clostridiales_bacterium_KLE1615",0.0758467060288403,0.090563814059947,0,0,0.028244167372627,0.0204370163933,0.466379373692237,0.518209203959351,0.78479932590668,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified"
"Clostridiales_bacterium_Marseille_P2846",0.0298037409154609,0.0102275960265334,0,0,0,0,0,0.0016540497381114,0.272811938194178,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified"
"Clostridium_disporicum",0,0,0.0420516725052969,0,0,0,0,0.811154779538478,0.943346982929685,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_fessum",0.0045277080388277,0.0339727060443258,0.0351498148655465,0,0.00915704306357813,0,8.84529969084604,0.268935352219927,0.653917258325676,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_innocuum",0,0.0221648548572349,0.0501648457015391,0,0,0.00544987800359378,-8.09877392197892,0.203806633260003,0.63570185279367,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Clostridium_leptum",0.037039536715063,0.0472213774683201,0.125830833811854,0,0.0202580546262817,0.0163352313004875,0.310167900010434,0.077008942984581,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Clostridium_methylpentosum",0.00543141695028999,0,0,0,0,0,0,0.242298890524989,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Clostridium_saccharogumia",0,0,0,0,0,0,0,0.103481508434349,0.611945762102077,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Clostridium_saudiense",0,0.00998515815268918,0.0918126586556289,0.0187973841303332,0,0,0,0.209792831684373,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_scindens",0.0465452905279197,0.00948697860930612,0.038779564338455,0,0,0.00474348930465306,-7.89928216209389,0.256842020626637,0.650512032222878,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium"
