"species","p_value","q_value","kingdom","phylum","class","order","family","genus"
"GGB3576_SGB4784",0.224443954614418,0.640222624861991,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3576"
"GGB3583_SGB4799",0.233007494467431,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3583"
"GGB3585_SGB4803",0.413293863227969,0.727400925838693,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3585"
"GGB3602_SGB4865",0.0711455128671653,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3602"
"GGB3612_SGB4882",0.58598329470292,0.831855087160077,"Bacteria","Firmicutes","CFGB72924","OFGB72924","FGB72924","GGB3612"
"GGB3619_SGB4894",0.980596097777746,0.992763074938443,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3619"
"GGB36267_SGB14177",0.0176539934629178,0.600750593146475,"Bacteria","Firmicutes","CFGB2915","OFGB2915","FGB2915","GGB36267"
"GGB36331_SGB15121",0.83459540085009,0.947161254529293,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB36331"
"GGB3653_SGB4964",0.0399072814321382,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3653"
"GGB3677_SGB4990",0.101088607441592,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3677"
"GGB3722_SGB5050",0.144956894489269,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","GGB3722"
"GGB3730_SGB5060",0.164468008350868,0.623849173981767,"Bacteria","Firmicutes","CFGB1473","OFGB1473","FGB1473","GGB3730"
"GGB3740_SGB5077",0.972671150041908,0.992763074938443,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3740"
"GGB3819_SGB5184",0.0103636280696432,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3819"
"GGB38744_SGB14842",0.110211230878213,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB38744"
"GGB40351_SGB14301",0.913898886067863,0.979509888104232,"Bacteria","Firmicutes","CFGB2979","OFGB2979","FGB2979","GGB40351"
"GGB41473_SGB58537",0.0279825124819148,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB41473"
"GGB42378_SGB59548",0.39087628816141,0.720604195271094,"Bacteria","Firmicutes","CFGB30287","OFGB30287","FGB30287","GGB42378"
"GGB42389_SGB59559",0.37217513056227,0.707296120256689,"Bacteria","Firmicutes","CFGB40183","OFGB40183","FGB40183","GGB42389"
"GGB4239_SGB5731",0.108540109617292,0.611945762102077,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","GGB4239"
"GGB43675_SGB61016",0.0160303751846651,0.600750593146475,"Bacteria","Firmicutes","CFGB79326","OFGB79326","FGB79326","GGB43675"
"GGB44201_SGB61600",0.215737203309787,0.63570185279367,"Bacteria","Firmicutes","CFGB38703","OFGB38703","FGB38703","GGB44201"
"GGB4456_SGB6141",0.599308109956581,0.842464145022497,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","GGB4456"
"GGB45432_SGB63101",0.0508521853131657,0.600750593146475,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB45432"
"GGB45491_SGB63163",0.980121961692231,0.992763074938443,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB45491"
"GGB45495_SGB63167",0.50509880708205,0.783291375552983,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB45495"
"GGB45497_SGB63169",0.3411730931891,0.690000859087193,"Bacteria","Firmicutes","CFGB77241","OFGB77241","FGB77241","GGB45497"
"GGB4552_SGB6276",0.950136070334673,0.988832259693554,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4552"
"GGB4559_SGB6293",0.991073581872537,0.996343112231699,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4559"
"GGB4566_SGB6305",0.707540582502181,0.894294856424431,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4566"
"GGB4567_SGB6308",0.831844306069231,0.945884769327044,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4567"
"GGB4569_SGB6310",0.083186958313549,0.600750593146475,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4569"
"GGB4571_SGB6317",0.342551273190203,0.690000859087193,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4571"
"GGB4585_SGB6340",0.420921117998209,0.727400925838693,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4585"
"GGB4588_SGB6347",0.859861352160498,0.959201394739647,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4588"
"GGB4597_SGB6359",0.166863295363513,0.623849173981767,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4597"
"GGB4599_SGB6362",0.11109389875816,0.611945762102077,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4599"
"GGB4604_SGB6371",0.370274751962163,0.707296120256689,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4604"
"GGB4605_SGB6376",0.0231979945789766,0.600750593146475,"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4605"
"GGB4684_SGB6478",0.998581377016205,0.998581377016205,"Bacteria","Firmicutes","CFGB1776","OFGB1776","FGB1776","GGB4684"
"GGB4723_SGB6540",0.313356383868907,0.690000859087193,"Bacteria","Firmicutes","CFGB1780","OFGB1780","FGB1780","GGB4723"
"GGB4727_SGB6548",0.561850611021834,0.815098546531675,"Bacteria","Firmicutes","CFGB9119","OFGB9119","FGB9119","GGB4727"
"GGB4745_SGB6571",0.823226399364785,0.943346982929685,"Bacteria","Tenericutes","CFGB1787","OFGB1787","FGB1787","GGB4745"
"GGB4750_SGB6579",0.626218239202562,0.857773355558859,"Bacteria","Tenericutes","CFGB1787","OFGB1787","FGB1787","GGB4750"
"GGB47687_SGB2286",0.647903046630273,0.86730657833007,"Bacteria","Bacteroidota","CFGB1670","OFGB1670","FGB1670","GGB47687"
"GGB48165_SGB66168",0.17851898042641,0.63570185279367,"Bacteria","Firmicutes","CFGB45503","OFGB45503","FGB45503","GGB48165"
"GGB51139_SGB71360",0.147350202629275,0.623849173981767,"Bacteria","Firmicutes","CFGB77566","OFGB77566","FGB77566","GGB51139"
"GGB51269_SGB5062",0.503186899119673,0.783291375552983,"Bacteria","Firmicutes","CFGB1474","OFGB1474","FGB1474","GGB51269"
"GGB51441_SGB71759",0.612057757139498,0.850240610743311,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB51441"
"GGB51647_SGB4348",0.82315020024754,0.943346982929685,"Bacteria","Firmicutes","CFGB4806","OFGB4806","FGB4806","GGB51647"
"GGB51959_SGB72479",0.242866085473007,0.643077390399694,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","GGB51959"
"GGB52106_SGB72838",0.14579628043994,0.623849173981767,"Bacteria","Firmicutes","CFGB30328","OFGB30328","FGB30328","GGB52106"
"GGB52130_SGB14966",0.0784928348085144,0.600750593146475,"Bacteria","Firmicutes","CFGB3047","OFGB3047","FGB3047","GGB52130"
"GGB55957_SGB77276",0.0473186124343013,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB55957"
"GGB58158_SGB79798",0.598331429708171,0.842464145022497,"Bacteria","Firmicutes","CFGB3004","OFGB3004","FGB3004","GGB58158"
"GGB5980_SGB8599",0.201351953633903,0.63570185279367,"Bacteria","Candidatus_Melainabacteria","CFGB2106","OFGB2106","FGB2106","GGB5980"
"GGB6601_SGB9333",0.111889050164626,0.611945762102077,"Bacteria","Proteobacteria","CFGB2403","OFGB2403","FGB2403","GGB6601"
"GGB6613_SGB9347",0.0343636607191457,0.600750593146475,"Bacteria","Proteobacteria","CFGB2404","OFGB2404","FGB2404","GGB6613"
"GGB6649_SGB9391",0.313729388460829,0.690000859087193,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","GGB6649"
"GGB74463_SGB54347",0.40827481976823,0.727400925838693,"Bacteria","Firmicutes","CFGB9238","OFGB9238","FGB9238","GGB74463"
"GGB74504_SGB48228",0.633530119741467,0.861118437205011,"Bacteria","Bacteroidota","CFGB4425","OFGB4425","FGB4425","GGB74504"
"GGB74505_SGB47518",0.971125344204285,0.992763074938443,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB74505"
"GGB74511_SGB47635",0.803196273202364,0.940522077368175,"Bacteria","Firmicutes","CFGB72939","OFGB72939","FGB72939","GGB74511"
